time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-01-04T13:53:39.820Z,46.249,13.632,10,2.5,ml,,,,1.2,us,usp0009kra,2014-11-07T01:09:17.136Z,"Austria-Italy-Slovenia border region",earthquake,,,,,reviewed,us,vie
2000-01-12T08:48:01.170Z,45.12,14.862,10,3.2,ml,,,,0.89,us,usp0009m1x,2014-11-07T01:09:19.199Z,"5 km E of Novi Vinodolski, Croatia",earthquake,,,,,reviewed,us,vie
2000-01-16T10:30:08.570Z,46.271,13.721,10,2.5,ml,,,,1.12,us,usp0009m7k,2014-11-07T01:09:19.911Z,"9 km N of Tolmin, Slovenia",earthquake,,,,,reviewed,us,vie
2000-01-28T11:08:07.000Z,44.95,17.19,9,3,ml,,,,,us,usp0009ms7,2014-11-07T01:09:22.374Z,"9 km WNW of Laktaši, Bosnia and Herzegovina",earthquake,,,,,reviewed,zag,vie
2000-01-29T07:09:46.510Z,43.23,17.776,10,2.9,md,,,,,us,usp0009mtf,2014-11-07T01:09:22.653Z,"6 km E of ?itluk, Bosnia and Herzegovina",earthquake,,,,,reviewed,pdg,pdg
2000-02-03T02:00:17.700Z,45.08,16.31,14,3,ml,,,,,us,usp0009mze,2014-11-07T01:09:25.980Z,"Croatia region",earthquake,,,,,reviewed,zag,zag
2000-02-03T12:15:00.800Z,45.42,15.88,24,2.7,ml,,,,,us,usp0009n06,2014-11-07T01:09:26.256Z,"7 km N of Gvozd, Croatia",earthquake,,,,,reviewed,zag,vie
2000-02-08T11:44:01.590Z,46.251,15.125,10,2.6,ml,,,,0.7,us,usp0009n72,2014-11-07T01:09:28.855Z,"0 km SSE of Šempeter v Savinj. Dolini, Slovenia",earthquake,,,,,reviewed,us,vie
2000-02-16T23:42:35.190Z,44.19,15.481,10,3.9,ml,,,,1.52,us,usp0009nje,2014-11-07T01:09:31.221Z,"2 km S of Posedarje, Croatia",earthquake,,,,,reviewed,us,zag
2000-02-16T23:54:46.340Z,44.209,15.466,10,3.6,ml,,,,1.48,us,usp0009njg,2014-11-07T01:09:31.255Z,"0 km WSW of Posedarje, Croatia",earthquake,,,,,reviewed,us,zag
2000-02-17T20:55:44.580Z,43.709,17.25,10,3.1,ml,,,,0.98,us,usp0009nkg,2014-11-07T01:09:31.357Z,"2 km ESE of Tomislavgrad, Bosnia and Herzegovina",earthquake,,,,,reviewed,us,vie
2000-02-18T03:45:27.760Z,43.467,17.262,10,3.9,mb,,,,1.37,us,usp0009nky,2014-11-07T01:09:31.409Z,"2 km NE of Donji Vinjani, Croatia",earthquake,,,,2,reviewed,us,us
2000-02-24T17:01:07.000Z,45.1,14.56,9,2.6,ml,,,,,us,usp0009nwx,2014-11-07T01:09:33.478Z,"6 km SSE of Njivice, Croatia",earthquake,,,,,reviewed,zag,vie
2000-02-24T19:24:26.350Z,45.163,17.126,10,3.2,ml,,,,0.97,us,usp0009nx2,2014-11-07T01:09:33.486Z,"10 km W of Gradiška, Bosnia and Herzegovina",earthquake,,,,,reviewed,us,zag
2000-02-25T14:39:49.740Z,45.3,16.541,10,3.2,ml,,,,0.97,us,usp0009nyb,2014-11-07T01:09:33.684Z,"7 km N of Hrvatska Kostajnica, Croatia",earthquake,,,,,reviewed,us,zag
2000-02-27T09:20:01.120Z,44.738,15.148,10,2.9,ml,,,,0.75,us,usp0009p0z,2014-11-07T01:09:34.133Z,"11 km NNW of Popova?a, Croatia",earthquake,,,,,reviewed,us,zag
